Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
POST,/v1/issue,180688,180078,16000,16325.30762,6.582875001,55674.96878,0.230280926,571.9607085,570.0297776,16000,18000,20000,21000,23000,25000,28000,30000,38000,45000,56000
,Aggregated,180688,180078,16000,16325.30762,6.582875001,55674.96878,0.230280926,571.9607085,570.0297776,16000,18000,20000,21000,23000,25000,28000,30000,38000,45000,56000
